CompTotal,YearsOfExperience,MainBranch,Country,EducationLevel,RemoteWork,Salary
98800.0,6.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,125859.0
72000.0,12.0,Profession,Germany,Master's degree,In-person,77332.0
135000.0,25.0,Profession,United States of America,Bachelor's degree,Remote,135000.0
105000.0,14.0,Profession,Argentina,Less than Bachelor's degree,Remote,105000.0
35000.0,3.0,Profession,Italy,Master's degree,Hybrid,37592.0
165000.0,12.0,Profession,United States of America,Master's degree,Hybrid,165000.0
160000.0,26.0,Profession,Canada,Bachelor's degree,Hybrid,116309.0
13200.0,9.0,Profession,Other,Bachelor's degree,Remote,13200.0
40000.0,4.0,Profession,United Kingdom of Great Britain and Northern Ireland,Master's degree,In-person,50955.0
17000.0,10.0,Profession,United States of America,Bachelor's degree,Remote,17000.0
165000.0,23.0,Profession,United States of America,Master's degree,Remote,165000.0
125000.0,2.0,Profession,United States of America,Master's degree,Hybrid,125000.0
130000.0,10.0,Profession,United States of America,Bachelor's degree,Remote,130000.0
102000.0,3.0,Profession,United States of America,Master's degree,Remote,102000.0
65000.0,3.0,Profession,United States of America,Bachelor's degree,Hybrid,65000.0
35000.0,5.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,44586.0
192000.0,12.0,Profession,United States of America,Bachelor's degree,In-person,192000.0
90000.0,30.0,Profession,Germany,Master's degree,Remote,96666.0
65000.0,4.0,Developer,Germany,Master's degree,Hybrid,69814.0
100000.0,30.0,Developer,United States of America,Bachelor's degree,In-person,100000.0
62500.0,3.0,Profession,Germany,Less than Bachelor's degree,Remote,67129.0
163000.0,21.0,Developer,United States of America,Bachelor's degree,Remote,163000.0
50000.0,3.0,Profession,Germany,Bachelor's degree,Hybrid,53703.0
144000.0,16.0,Profession,Other,Bachelor's degree,Hybrid,30512.0
108000.0,12.0,Profession,Finland,Bachelor's degree,Hybrid,115999.0
102907.0,4.0,Profession,United States of America,Less than Bachelor's degree,Remote,102907.0
180000.0,10.0,Profession,United States of America,Bachelor's degree,Remote,180000.0
20000.0,10.0,Developer,Greece,Master's degree,In-person,21481.0
115000.0,8.0,Profession,United States of America,Bachelor's degree,Remote,115000.0
400000.0,20.0,Profession,Romania,Bachelor's degree,Remote,86309.0
95000.0,9.0,Profession,Greece,Bachelor's degree,Remote,102036.0
70000.0,6.0,Profession,Other,Bachelor's degree,Remote,70000.0
50000.0,1.0,Profession,France,Master's degree,Hybrid,53703.0
140000.0,5.0,Profession,United States of America,Bachelor's degree,Hybrid,140000.0
102500.0,5.0,Profession,United States of America,Bachelor's degree,Remote,102500.0
108000.0,11.0,Profession,United States of America,Bachelor's degree,Hybrid,108000.0
104000.0,15.0,Profession,Canada,Bachelor's degree,Hybrid,75601.0
85000.0,11.0,Profession,Belgium,Master's degree,Hybrid,91295.0
280000.0,11.0,Profession,Mexico,Bachelor's degree,In-person,15095.0
125000.0,23.0,Profession,Czech Republic,Bachelor's degree,Hybrid,134258.0
132000.0,6.0,Profession,United States of America,Bachelor's degree,Hybrid,132000.0
75000.0,9.0,Profession,Germany,Bachelor's degree,Remote,80555.0
140000.0,16.0,Profession,United States of America,Bachelor's degree,Remote,140000.0
67000.0,13.0,Profession,Other,Bachelor's degree,Hybrid,71962.0
